t,x_clean,gaussian_s0.05,gaussian_s0.15,gaussian_s0.30,gaussian_s0.60,pink_s0.05,pink_s0.15,pink_s0.30,pink_s0.60,hetero_f0.05,hetero_f0.10,hetero_f0.20,hetero_f0.40,ou_theta0.5,ou_theta2.0,ou_theta8.0
0.0,1.8421219880057702,1.8573578419934917,1.9194335484408918,1.4453596480182664,1.8182982185975836,1.8273251252726959,2.0855783707903295,2.316964387347984,1.69521932581373,1.8449541054600191,1.7783883164637473,1.9295628170956052,2.5106856107834976,1.8421219880057702,1.8421219880057702,1.8421219880057702
0.025041736227045076,1.776391107001867,1.7243919016898421,1.6897602738985193,1.630532867792153,2.0418638699836937,1.792109236290073,1.9822875089186156,2.468310232680242,1.4151128525065482,1.835444905733575,1.920962991873948,1.7563726550056877,1.5530761760064977,1.7963648027033476,1.7361293602956371,1.6778198766592098
0.05008347245409015,1.7046330954040185,1.7421556551943413,1.8958001779452043,1.8307011082463942,1.5219770376900181,1.6936248766930564,1.954339486866397,1.8337494612433218,2.369224232196898,1.7031247043897466,1.4525691086927799,2.0164894401013087,2.1550197923771783,1.7417892872270349,1.6923778786369486,1.6903625305149983
0.07512520868113523,1.627220899113,1.6742491349325606,1.533082768647462,1.596501887129671,1.3814315420921988,1.5748248197823282,1.5979381028958461,2.1314167753993107,3.0469660259124005,1.7259461856912777,1.6281265971495544,1.836813343955154,1.7767613529469328,1.6765945765475034,1.6604919041120607,1.5743155054061273
0.1001669449081803,1.5445442065380377,1.446992447105346,1.4490519140727023,1.34937512041636,1.5999566294907126,1.4726180045027282,1.5590236249769658,1.876033132517238,2.7845770422883103,1.499631536733775,1.585762686938572,0.5624807764937982,2.0036632212172765,1.595039433307994,1.5694230656392785,1.6011402080298052
0.12520868113522537,1.45700766171044,1.391898686367324,1.5381774033311197,1.2547439231930873,0.30445810617333113,1.3623669926041515,1.4430080040570183,1.816458276067578,2.144151544436146,1.3336656579942194,1.6485164941269068,1.6267969196670393,0.646655207772421,1.4945050435367513,1.4169119559996144,1.4694809620837261
0.15025041736227046,1.3650290450489007,1.371421065207265,1.4794680173994412,1.1513279257250881,1.6512501213847754,1.3174379934410618,1.2621211342659335,1.375477558655474,2.1220667558852115,1.539499992352201,1.116932092230982,1.0710037488425002,1.2825831853259548,1.3828355100257947,1.2637189244295386,1.429699092589289
0.17529215358931552,1.269037429435253,1.253225299818074,1.3362523340256836,1.0051845408375704,1.268699571161478,1.1989810610699445,1.392809657272251,1.7535295535383566,2.3701192597556444,1.2185796125658213,1.273555093920083,0.8797574571258242,1.2384154331724264,1.317049965916126,1.2124914271973954,1.337442707215751
0.2003338898163606,1.1694713192426074,1.168631261367393,0.9166317216348862,1.8539611824254258,1.1932874352011444,1.0446579702578358,1.245279196746367,1.5809747689009406,2.3345291957985834,1.124863641890332,1.0208514586577009,1.1216190014607912,1.4736767808220674,1.2349274440127653,1.0573102883256533,1.2895713662225108
0.2253756260434057,1.0667767799111123,1.0241245835324333,1.14748194590035,1.1560301012667789,1.6432173644677905,0.987660125528356,1.2383419969430547,1.306989805978807,1.761351523625422,1.0619508407416265,1.1308118450251088,1.1626790893572194,0.7860469716618137,1.1150640650642438,0.9782493129781371,1.1745493372161067
0.25041736227045075,0.9614055655905867,1.005375464333728,0.8062593578394268,1.2274332819120082,-0.21028375243836228,0.8913061206635623,1.2460344259982634,1.2407543120972966,1.7389570545696729,0.9659786024198608,1.051671926701505,0.6131085961874791,-0.04997197358054972,1.010031614517779,0.8824980969191126,0.906252785088437
0.27545909849749584,0.8538132522647668,0.8927028490362142,0.8891046690030063,0.7070900118290897,-0.3304870696506115,0.8450583175022752,0.9297803134123941,0.8618733959848064,1.7744261606135172,0.8295717984954758,0.9894569582123545,0.9882201170293108,0.4627514363396146,0.8947548294584857,0.796225174494114,0.895615996170618
0.3005008347245409,0.7444573836397224,0.7477589185177832,0.5308972183298634,0.6886703804839077,0.9087396908338341,0.654432124179242,0.7810473467406943,0.7294720827190226,1.7668696545022926,0.743459766035277,0.6939261317810947,0.8733788088431416,0.7250573744379774,0.7582761244200853,0.7115212715275417,0.771114190836359
0.325542570951586,0.6337956369200283,0.6901576972684299,0.7007439590514878,0.41972944250892175,0.6295255238429188,0.5521685111069062,0.7103638565133851,0.6030596468163194,1.4875444255792978,0.6317403358517958,0.7111073767404288,0.6406898224967623,0.6512691387869056,0.6516330593079223,0.5592307586372229,0.7236576014118354
0.35058430717863104,0.522284015411607,0.5456594825242093,0.4012941797655011,-0.27322848506415354,0.6243901813267663,0.5207385666459597,0.6479627945937629,0.3244197028799405,1.4793880609629546,0.5303456689564222,0.6205797617299026,0.4143023521148703,0.9077168700346393,0.5300984168192932,0.4061855460272823,0.6553211527021771
0.3756260434056761,0.4103750746808486,0.3674104515366867,0.21797987714177036,-0.0030277083735112398,0.13309882957738128,0.41953736903699557,0.41251219991193766,0.695499054665673,1.9578662759385899,0.3148526208990481,0.31007537548638775,0.31040505027507054,0.517687849136037,0.39562281682933126,0.3330558288859464,0.45261369316631983
0.4006677796327212,0.2985161887668908,0.31695372797101573,0.4055892092392507,-0.24466941522722763,0.6971283933108494,0.24687359355989458,0.2873558411267229,0.6836549610188865,1.8773350336466168,0.36420731624254415,0.3290425743447154,0.3802863013690597,0.3098820376416344,0.24905617245315853,0.19582944137039726,0.25424498922354505
0.4257095158597663,0.18714786268905484,0.13920373264760488,0.22339454094056754,-0.48778727069642736,0.7467311684837268,0.131365307351431,0.2917257075562366,0.27799447794146304,1.6052146002985153,0.1828238617645103,0.22425642101549226,0.1003589897941527,0.18407525386565982,0.10141464350357918,-0.037880250194012366,0.2073955990687678
0.4507512520868114,0.07670209721572956,0.12062461228109318,-0.01539442299320501,-0.2819055950737013,0.3670914735866458,0.04228647558531262,0.1074886351883155,0.2981430508840824,1.8091529056167734,0.09054129823479297,0.06954308384388444,0.11432092978591814,0.13266303730839255,-0.016725946001353395,-0.10728995710091764,0.06713846714721518
0.4757929883138564,-0.03239918843413213,-0.034895483983444775,0.1852776389190275,0.3650875153803571,-0.188896263476882,-0.14656812430312502,-0.2009936685845941,0.1135046378243313,1.1381085583943826,-0.06219368351709717,-0.060537468113564724,-0.036773635353906306,-0.051849037371840795,-0.12667203314935235,-0.25539183046218705,0.04047961533018511
0.5008347245409015,-0.1397456705988595,-0.14898878877612254,-0.20584353383432086,-0.15307652091016583,-1.4043593031675012,-0.24131469009414178,-0.2405367897207875,0.07839083498873439,1.5876166777669758,-0.15245668819187025,-0.10770915702840629,-0.1443408518755361,-0.1503929671504547,-0.25349300280092696,-0.3302123654527834,-0.09545573362379876
0.5258764607679466,-0.24494006686273326,-0.27898654408293033,-0.24012391576709305,0.14222906183361897,0.2166016579595436,-0.2833266012632356,-0.12648799727555649,-0.1794318536338751,1.3106173347007855,-0.2666202388516115,-0.29831102065633197,-0.36277764432527027,-0.3734464119764796,-0.3419217440046356,-0.3616017833875837,-0.12048799010586814
0.5509181969949917,-0.3475995087414948,-0.2864724418077933,-0.30726249158970464,-0.2243047356712322,0.3854376909890609,-0.32420477400619957,-0.2978282332554514,-0.2809309490209906,1.846724350952408,-0.2926612705248804,-0.3573660245336459,-0.3607335670554474,-0.12193696957685948,-0.4449206415179965,-0.4577860448591552,-0.20925825267837495
0.5759599332220368,-0.4473568370385138,-0.45508331114195394,-0.5403067271578058,-0.21258918932396606,-0.06062178984812583,-0.4629020484087041,-0.4963881445328823,-0.03561669953906588,0.2781491605187608,-0.47217649528764266,-0.44995429535338516,-0.38018679157918756,-0.3692720250992732,-0.5298588505743603,-0.5060474876346597,-0.30931126125234476
0.6010016694490818,-0.5438618159149844,-0.5652782070231398,-0.473191371904995,-0.8141309145063569,-1.0716472723354884,-0.5399290509171041,-0.5597458736841057,-0.20751213382770073,0.1463084675294939,-0.5080856782608802,-0.4906356724653037,-0.7159545011092805,-0.7119302436618077,-0.6296519627910362,-0.5925631579670702,-0.4631115716333658
0.6260434056761269,-0.6367822620971941,-0.6543889396216056,-0.7168001141719028,-0.47959697583939287,-0.23250562589653945,-0.5923674024151833,-0.6290351576623481,0.014025244655124558,0.44504958798319527,-0.6704994815090339,-0.6892176794842331,-0.5633050496498719,-0.6682245304551002,-0.7400722885416475,-0.6095917122093585,-0.5506598330619334
0.651085141903172,-0.725805086031998,-0.6991896267543306,-0.7875508343644294,-0.5071908158096943,-0.20948726125513073,-0.6571697171793488,-0.6845631268594494,-0.396481841378732,0.4778819921454247,-0.751283121246839,-0.7891841921251355,-0.7111037316705365,-0.5676492243537894,-0.8251179704640157,-0.7491282918608455,-0.5525114429013738
0.676126878130217,-0.8106372421965301,-0.7923650389783262,-0.6062408462260289,-0.983631429866638,0.12465250648292125,-0.8154368678400612,-0.9273384702756526,-0.6520146236564772,0.8273391284414525,-0.8255008509375031,-0.8006404755297601,-0.9278828095622874,-0.8969484556412548,-0.9384996758757919,-0.8332015405024807,-0.6734763352931623
0.7011686143572621,-0.8910065861682072,-0.8703699555884077,-1.0470944940450722,-0.7231444749833573,-1.4166725407049818,-0.8856080298655762,-0.975411938806674,-0.38173325756720744,-0.018923700543463595,-0.808133960450378,-0.7812087222341957,-0.7216092546214887,-1.0921827362261967,-1.0045532149096092,-0.8812949375032787,-0.7329669130387204
0.7262103505843072,-0.9666626364645867,-0.9451215863141926,-1.3285796861040102,-0.7968063088921369,-1.10253538719107,-0.922607192756349,-0.9549690448498097,-0.5127950792665954,0.3264615666444515,-1.0958021873405723,-0.6997943916102946,-1.4364756387387165,-1.2327328806894802,-1.1009028770322882,-0.9662432477566903,-0.8333183446484236
0.7512520868113522,-1.037377239567981,-0.9302948595244579,-0.7957366903161969,-1.2022430259070058,-0.5890140088819079,-1.0779653652159884,-1.0292739844488694,-0.581070417390233,0.3732841009221308,-1.131932482032009,-1.2239095321362699,-0.9585158809644849,-0.8899454578417716,-1.1482869301592484,-0.9836198162616515,-0.9175016040076526
0.7762938230383973,-1.10294513695527,-1.1232658877745008,-0.7205459440642197,-1.4397756666365686,-1.0684990940923753,-1.0941518611198746,-1.0558090989493756,-0.6355481592742569,0.05651847524448783,-1.2492797784023395,-1.0618578021000016,-0.7133268073515389,-1.2680719129480635,-1.2204586459048623,-1.071821235959039,-0.8562997463103406
0.8013355592654424,-1.1631844333575172,-1.188796569811094,-1.223974823174917,-1.518422932926999,-1.833580994588282,-1.2034817275006693,-1.228127901618975,-1.0417484951820637,-0.5124897618074983,-1.2481827526002374,-1.3112991967635461,-0.7994016817111345,-1.3833811614894103,-1.2541715979269807,-1.0377496851200625,-0.8577444869999009
0.8263772954924875,-1.2179369658751624,-1.2586256022875564,-1.5084626719681902,-1.191985303298724,-0.9691671948591406,-1.2380388143494598,-1.1580702862117902,-1.0882265336522905,0.14469508680640808,-1.2835928520916566,-1.0734759535759553,-1.115188828566305,-1.8955538010458808,-1.3342735986626935,-1.000352098334831,-0.9611039477051864
0.8514190317195326,-1.267068573971262,-1.236269602842487,-1.3136411704006534,-1.1689656133344675,-0.919871593682162,-1.296956767547027,-1.130792192627995,-1.1865793913048865,0.0840981577290949,-1.401641122069252,-1.404759495034208,-1.3495522356552097,-1.2261653886076835,-1.397945589388872,-1.0470501484893378,-1.0383789395512784
0.8764607679465777,-1.3104692707558971,-1.2540206561198526,-1.3534027132319975,-1.5482270198932715,-1.257691532957296,-1.362587834325296,-1.217567381421179,-1.416770028521531,-0.2606769743891246,-1.373256128794851,-1.4123728109693592,-1.4898252644115915,-1.4090888386027385,-1.4307319186218639,-1.0756081338033068,-1.1837873017849634
0.9015025041736228,-1.3480533163581117,-1.3537506892408555,-1.3765418925114503,-1.340077713960282,-1.2163023600501452,-1.3952571534336504,-1.2966910704870416,-1.258260798839284,-0.534654591479852,-1.52414473285363,-1.439275587118833,-1.4357838564532075,-1.5279259325661152,-1.4392086556242112,-1.0694796009183598,-1.2592770829697815
0.9265442404006679,-1.3797591945560774,-1.421767018404204,-1.5467674008443546,-1.2085980837145318,-1.5349827355675156,-1.3832987088083986,-1.365087034663732,-1.0109268018813493,-0.6745754862823881,-1.4703479341100743,-1.3917967919618799,-1.2188184395215258,-1.266081513057023,-1.4304666001012045,-1.1697721468445113,-1.280434154889612
0.9515859766277128,-1.4055494942003726,-1.4467735549849345,-1.318615322828901,-1.2200922798007823,-0.5185821327707371,-1.3823886826268876,-1.4472186093113966,-1.2404202183349948,-0.8497782946634087,-1.2971785719060889,-1.3536585203840452,-1.6486185948015342,-0.9700477681259844,-1.4546501691077074,-1.2665781862812295,-1.2509459810263388
0.9766277128547579,-1.4254106973179048,-1.3928810579266697,-1.346734591024992,-0.9598466612811583,-1.9658260075455107,-1.4285183233358751,-1.3992878892907143,-1.5816570916035686,-0.7475815520873564,-1.3885749982778541,-1.3467893553700192,-1.1943342184264205,-1.011371816449964,-1.430549765519202,-1.2350441811578847,-1.2343026434674575
1.001669449081803,-1.4393528761240069,-1.4021901675638349,-1.663513719096903,-1.056258626464594,-1.7917453337822742,-1.4367285284870215,-1.3137441566120924,-1.5957867624966549,-1.0681446638524226,-1.4221119160244664,-1.4402983804662992,-0.7826155203994882,-1.110069763111698,-1.4512609087321269,-1.2455975290498624,-1.3785406441323842
1.0267111853088482,-1.4474093014963243,-1.4202515880810644,-1.342529791742091,-1.7477967313232874,-1.4408179933798089,-1.4336778585713357,-1.4287831727230365,-1.0675582992142187,-1.4987334197775575,-1.5400364231068788,-1.6664967855308315,-1.4665610402248874,-1.5915620670254609,-1.4332502906074978,-1.2736082104883495,-1.3134357480930112
1.0517529215358932,-1.449635965775308,-1.4829114511397428,-1.1417332184834244,-0.9445601029139012,-0.9222635491547724,-1.4684197556041125,-1.5064578842262117,-1.3129761777333087,-1.643803701433212,-1.5916958651120887,-1.3295777448808237,-1.866300473649154,-1.7897524046202027,-1.457878278599268,-1.283809940469145,-1.3476352814209056
1.0767946577629381,-1.446111023051347,-1.434502956898011,-1.420316973185788,-1.6054039744180615,-2.344534925108069,-1.4162725030643268,-1.4708395825637137,-1.4343402815420179,-1.5133892895583254,-1.5512614524523345,-1.4548286070535248,-1.8619359581453856,-2.070836502298633,-1.4443386515117085,-1.3988816428673392,-1.4476917290056808
